Establishment ID,Establishment Status,Inspection ID,Establishment Name,Establishment Type,Infraction Details,Severity,Action,Outcome,Amount Fined,Inspection Date,year,month,day
10759230,Pass,105482715.0,PIAZZA MANNA,Food Court Vendor,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-28,2024,10,28
10828107,Pass,105482046.0,PIZZA 2 GO,Restaurant,,,,,,2024-10-28,2024,10,28
10828326,Pass,105483274.0,PIZZA KARACHI TORONTO,Restaurant,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),S - Significant,Corrected During Inspection,,,2024-10-28,2024,10,28
10787292,Pass,105483583.0,PLENTY MARKET & CAFE,Food Take Out,Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32,NA - Not Applicable,Notice to Comply,,,2024-10-28,2024,10,28
10697938,Pass,105469084.0,POPA,Restaurant,OPERATE FOOD PREMISE - MECHANICAL EQUIPMENT NOT MAINTAINED TO PROVIDE SUFFICIENT CHEMICAL SOLUTION RINSE - SEC. 20(1)(A)(II)(B) ,S - Significant,Corrected During Inspection,,,2024-10-28,2024,10,28
10697938,Pass,105469084.0,POPA,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-28,2024,10,28
10697938,Pass,105469084.0,POPA,Restaurant,USE UTENSILS NOT NON-TOXIC IN CONTACT WITH FOOD - SEC. 8(2)(A)  ,S - Significant,Corrected During Inspection,,,2024-10-28,2024,10,28
9012373,Pass,105483618.0,POPEYE'S,Restaurant,,,,,,2024-10-28,2024,10,28
10546569,Pass,105483647.0,POPEYES LOUISIANA KITCHEN,Restaurant,,,,,,2024-10-28,2024,10,28
10547513,Pass,105483374.0,PORCHETTA & CO.,Restaurant,,,,,,2024-10-28,2024,10,28
10820603,Pass,105482533.0,PUNJAB SPICE,Flea Market,,,,,,2024-10-26,2024,10,26
10822119,Pass,105483489.0,RABBA FINE FOOD,Supermarket,,,,,,2024-10-28,2024,10,28
9012804,Pass,105483124.0,RED APPLE DAY CARE (OVERLEA),Child Care - Catered,,,,,,2024-10-28,2024,10,28
10784261,Pass,105483470.0,RED MOON BAKERY,Bakery,,,,,,2024-10-28,2024,10,28
10763760,Pass,105483236.0,REFUEL,Food Take Out,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),S - Significant,Corrected During Inspection,,,2024-10-28,2024,10,28
10824837,Pass,105461528.0,ROBERT SANDWICH SHOP,Food Take Out,,,,,,2024-10-28,2024,10,28
10224212,Pass,105483440.0,ROCCO'S PLUM TOMATO,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-28,2024,10,28
10224212,Pass,105483440.0,ROCCO'S PLUM TOMATO,Restaurant,Fail to protect against entry of pests - Sec. 13(1),M - Minor,Notice to Comply,,,2024-10-28,2024,10,28
10828186,Pass,105482534.0,ROLL'S & BBQ,Food Court Vendor,,,,,,2024-10-26,2024,10,26
10828187,Pass,105482537.0,SABROSON,Food Court Vendor,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,S - Significant,Corrected During Inspection,,,2024-10-28,2024,10,28
10694602,Pass,105483533.0,SAIGON JUICE,Food Court Vendor,,,,,,2024-10-27,2024,10,27
10766283,Pass,105482831.0,SALUS FRESH FOODS,Food Take Out,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-10-28,2024,10,28
10766283,Pass,105482831.0,SALUS FRESH FOODS,Food Take Out,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-28,2024,10,28
10811727,Pass,105482207.0,SANKALP,Restaurant,Handwashing stations not conveniently accessible by food handlers - Sec. 7(3)(c)   ,S - Significant,Notice to Comply,,,2024-10-25,2024,10,25
10811727,Pass,105482207.0,SANKALP,Restaurant,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),S - Significant,Notice to Comply,,,2024-10-25,2024,10,25
10811727,Pass,105482207.0,SANKALP,Restaurant,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10811727,Pass,105482207.0,SANKALP,Restaurant,Fail to ensure equipment surface cleaned as necessary - Sec. 22,S - Significant,Notice to Comply,,,2024-10-25,2024,10,25
10695129,Pass,105483235.0,SANSOTEI RAMEN,Restaurant,,,,,,2024-10-28,2024,10,28
10828366,Pass,105483537.0,SAZON LANDIN,Food Court Vendor,,,,,,2024-10-28,2024,10,28
10828275,Pass,105482981.0,SCOTT MISSION FOOD BANK,Food Bank,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-28,2024,10,28
9013669,Pass,105483431.0,SEAPORT MERCHANTS,Fish Shop,,,,,,2024-10-28,2024,10,28
10568020,Pass,105483253.0,SECOND CUP,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-28,2024,10,28
10807293,Pass,105483427.0,SHAWARMA N' FRIES(HALAL),Food Take Out,FOOD PREMISE NOT MAINTAINED TO KEEP FOOD-HANDLING ROOM FREE FROM EQUIPMENT NOT REGULARLY USED - SEC. 7(1)(F)   ,M - Minor,Notice to Comply,,,2024-10-28,2024,10,28
10807293,Pass,105483427.0,SHAWARMA N' FRIES(HALAL),Food Take Out,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,NA - Not Applicable,Notice to Comply,,,2024-10-28,2024,10,28
10807293,Pass,105483427.0,SHAWARMA N' FRIES(HALAL),Food Take Out,SANITIZE UTENSILS IN CHLORINE SOLUTION OF LESS THAN 100 P.P.M. OF AVAILABLE CHLORINE - SEC. 19(B) ,S - Significant,Corrected During Inspection,,,2024-10-28,2024,10,28
10671003,Pass,105483271.0,SHOWTIME BISTRO,Restaurant,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-10-28,2024,10,28
